DATE,MANGSP
1997-01-01,236435.6
1998-01-01,247686.8
1999-01-01,262868.8
2000-01-01,287091.4
2001-01-01,294876.4
2002-01-01,299915.8
2003-01-01,309736.1
2004-01-01,324919.0
2005-01-01,340637.8
2006-01-01,358418.3
2007-01-01,377985.6
2008-01-01,387923.4
2009-01-01,388963.9
2010-01-01,409270.0
2011-01-01,423684.9
2012-01-01,441373.9
2013-01-01,452580.4
2014-01-01,469824.9
2015-01-01,497767.0
2016-01-01,514108.0
2017-01-01,530129.4
2018-01-01,559605.0
2019-01-01,588617.5
2020-01-01,589033.3
2021-01-01,645434.0
2022-01-01,691460.6
2023-01-01,733859.8
